Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.07     0.00       12     0.00     0.00  parse_digit
  0.00      0.07     0.00       11     0.00     0.00  caml_darken_all_roots_slice
  0.00      0.07     0.00        9     0.00     0.00  caml_insert_global_root
  0.00      0.07     0.00        9     0.00     0.00  caml_register_global_root
  0.00      0.07     0.00        8     0.00     0.00  camlStdlib__at_exit_392
  0.00      0.07     0.00        8     0.00     0.00  camlStdlib__fun_882
  0.00      0.07     0.00        7     0.00     0.00  camlPpl__Enum__enumerate_1364
  0.00      0.07     0.00        7     0.00     0.00  caml_register_named_value
  0.00      0.07     0.00        6     0.00     0.00  alloc_generic_table
  0.00      0.07     0.00        6     0.00     0.00  camlPpl__Enum__fun_3873
  0.00      0.07     0.00        6     0.00     0.00  camlPpl__Enum__fun_3876
  0.00      0.07     0.00        6     0.00     0.00  camlPpl__Primitive_dists__fun_4768
  0.00      0.07     0.00        6     0.00     0.00  caml_enter_blocking_section
  0.00      0.07     0.00        6     0.00     0.00  caml_leave_blocking_section
  0.00      0.07     0.00        6     0.00     0.00  generic_final_update
  0.00      0.07     0.00        5     0.00     0.00  camlStdlib__bigarray__create_327
  0.00      0.07     0.00        5     0.00     0.00  camlStdlib__format__initialize_scan_stack_392
  0.00      0.07     0.00        5     0.00     0.00  camlStdlib__list__iter_236
  0.00      0.07     0.00        5     0.00     0.00  camlStdlib__map__fun_998
  0.00      0.07     0.00        5     0.00     0.00  camlStdlib__queue__add_94
  0.00      0.07     0.00        4     0.00     0.00  camlCamlinternalFormat__buffer_check_size_359
  0.00      0.07     0.00        4     0.00     0.00  camlCamlinternalFormat__make_printf_3221
  0.00      0.07     0.00        4     0.00     0.00  camlPpl__Common__fun_7136
  0.00      0.07     0.00        4     0.00     0.00  camlPpl__Dist__condition_398
  0.00      0.07     0.00        4     0.00     0.00  camlPpl__Dist__fun_2416
  0.00      0.07     0.00        4     0.00     0.00  camlPpl__Enum__fun_3881
  0.00      0.07     0.00        4     0.00     0.00  camlPpl__Enum__fun_3889
  0.00      0.07     0.00        4     0.00     0.00  camlStdlib__queue__clear_92
  0.00      0.07     0.00        4     0.00     0.00  caml_copy_string
  0.00      0.07     0.00        4     0.00     0.00  caml_flush_partial
  0.00      0.07     0.00        4     0.00     0.00  caml_ml_flush
  0.00      0.07     0.00        4     0.00     0.00  caml_register_custom_operations
  0.00      0.07     0.00        3     0.00     0.00  camlCamlinternalFormat__buffer_add_char_366
  0.00      0.07     0.00        3     0.00     0.00  camlPpl__Common__fun_7151
  0.00      0.07     0.00        3     0.00     0.00  camlPpl__Common__fun_7155
  0.00      0.07     0.00        3     0.00     0.00  camlPpl__Dist__discrete_uniform_478
  0.00      0.07     0.00        3     0.00     0.00  camlPpl__Primitive_dists__discrete_uniform_1589
  0.00      0.07     0.00        3     0.00     0.00  camlPpl__Primitive_dists__support_1614
  0.00      0.07     0.00        3     0.00     0.00  camlStdlib__array__map_145
  0.00      0.07     0.00        3     0.00     0.00  camlStdlib__callback__register_exception_153
  0.00      0.07     0.00        3     0.00     0.00  camlStdlib__format__make_formatter_687
  0.00      0.07     0.00        3     0.00     0.00  camlStdlib__format__pp_make_formatter_674
  0.00      0.07     0.00        3     0.00     0.00  camlStdlib__hashtbl__create_inner_1519
  0.00      0.07     0.00        3     0.00     0.00  camlStdlib__hashtbl__power_2_above_338
  0.00      0.07     0.00        3     0.00     0.00  camlStdlib__max_43
  0.00      0.07     0.00        3     0.00     0.00  camlStdlib__printexc__register_printer_386
  0.00      0.07     0.00        3     0.00     0.00  caml_alloc_tuple
  0.00      0.07     0.00        3     0.00     0.00  caml_darken_all_roots_start
  0.00      0.07     0.00        3     0.00     0.00  caml_do_local_roots
  0.00      0.07     0.00        3     0.00     0.00  caml_do_roots
  0.00      0.07     0.00        3     0.00     0.00  caml_enter_blocking_section_default
  0.00      0.07     0.00        3     0.00     0.00  caml_final_do_roots
  0.00      0.07     0.00        3     0.00     0.00  caml_final_update_clean_phase
  0.00      0.07     0.00        3     0.00     0.00  caml_final_update_mark_phase
  0.00      0.07     0.00        3     0.00     0.00  caml_fl_init_merge
  0.00      0.07     0.00        3     0.00     0.00  caml_greaterequal
  0.00      0.07     0.00        3     0.00     0.00  caml_leave_blocking_section_default
  0.00      0.07     0.00        3     0.00     0.00  caml_open_descriptor_in
  0.00      0.07     0.00        3     0.00     0.00  caml_request_minor_gc
  0.00      0.07     0.00        3     0.00     0.00  caml_scan_global_roots
  0.00      0.07     0.00        3     0.00     0.00  caml_stat_resize_noexc
  0.00      0.07     0.00        3     0.00     0.00  start_cycle
  0.00      0.07     0.00        2     0.00     0.00  camlCamlinternalFormat__make_padding_3225
  0.00      0.07     0.00        2     0.00     0.00  camlPpl__Dist__Dist_383
  0.00      0.07     0.00        2     0.00     0.00  camlPpl__Enum__fun_3887
  0.00      0.07     0.00        2     0.00     0.00  camlPpl__Monad__Make_Extended_167
  0.00      0.07     0.00        2     0.00     0.00  camlPpl__Monad__fmap_173
  0.00      0.07     0.00        2     0.00     0.00  camlStdlib__array__to_list_169
  0.00      0.07     0.00        2     0.00     0.00  camlStdlib__array__tolist_171
